Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2020,June,1 North West Metro, Banyule,"3,749","2,832.2"
2020,June,1 North West Metro, Brimbank,"8,186","3,894.4"
2020,June,1 North West Metro, Darebin,"7,193","4,338.3"
2020,June,1 North West Metro, Hobsons Bay,"2,611","2,648.2"
2020,June,1 North West Metro, Hume,"8,624","3,572.2"
2020,June,1 North West Metro, Maribyrnong,"4,528","4,734.1"
2020,June,1 North West Metro, Melbourne,"13,638","7,273.6"
2020,June,1 North West Metro, Melton,"5,067","2,946.1"
2020,June,1 North West Metro, Moonee Valley,"4,032","3,053.5"
2020,June,1 North West Metro, Moreland,"7,348","3,893.9"
2020,June,1 North West Metro, Nillumbik,918,"1,408.5"
2020,June,1 North West Metro, Whittlesea,"6,659","2,810.1"
2020,June,1 North West Metro, Wyndham,"7,374","2,601.3"
2020,June,1 North West Metro, Yarra,"6,779","6,572.3"
2020,June,1 North West Metro,Total,"86,706","3,748.6"
2020,June,2 Eastern, Alpine,229,"1,781.0"
2020,June,2 Eastern, Bass Coast,"1,041","2,808.3"
2020,June,2 Eastern, Baw Baw,"1,877","3,433.2"
2020,June,2 Eastern, Benalla,501,"3,560.1"
2020,June,2 Eastern, Boroondara,"4,765","2,583.8"
2020,June,2 Eastern, East Gippsland,"2,000","4,185.4"
2020,June,2 Eastern, Greater Shepparton,"3,261","4,876.5"
2020,June,2 Eastern, Indigo,255,"1,514.9"
2020,June,2 Eastern, Knox,"5,146","3,113.7"
2020,June,2 Eastern, Latrobe,"5,055","6,659.2"
2020,June,2 Eastern, Manningham,"2,340","1,818.6"
2020,June,2 Eastern, Mansfield,162,"1,743.1"
2020,June,2 Eastern, Maroondah,"3,027","2,528.9"
2020,June,2 Eastern, Mitchell,"1,622","3,384.3"
2020,June,2 Eastern, Moira,930,"3,099.0"
2020,June,2 Eastern, Monash,"6,031","2,963.1"
2020,June,2 Eastern, Murrindindi,380,"2,579.9"
2020,June,2 Eastern, South Gippsland,641,"2,128.1"
2020,June,2 Eastern, Strathbogie,254,"2,334.5"
